'BOUT	B AW T
NATURE	N EY CH ER
NEAR	N IH R
NECK	N EH K
NEED	N IY D
NEEDLE	N IY D AH L
NEEDN'T	N IY D AH N T
NEEDS	N IY D Z
NEIGHBOR	N EY B ER
NEITHER	N IY DH ER
NEITHER(2)	N AY DH ER
NEST	N EH S T
NET	N EH T
NETH	N EH TH
NEVER	N EH V ER
NEW	N UW
NEW(2)	N Y UW
NEWS	N UW Z
NEWS(2)	N Y UW Z
NEWSPAPERS	N UW Z P EY P ER Z
NEXT	N EH K S T
NEXT(2)	N EH K S
NICE	N AY S
NICE(2)	N IY S
NIECE'S	N IY S IH Z
NIGGA	N IH G AH
NIGHT	N AY T
NIGHT'S	N AY T S
NIGHTMARE	N AY T M EH R
NIGHTS	N AY T S
NIGHTTIMES	N AY T T AY M Z
NINE	N AY N
NO	N OW
NOBLE	N OW B AH L
NOBODY	N OW B AA D IY
NOBODY(2)	N OW B AH D IY
NOISE	N OY Z
NOMINATED	N AA M AH N EY T AH D
NONE	N AH N
NONISH	N OW N AH SH
NORMALLY	N AO R M AH L IY
NORMALLY(2)	N AO R M L IY
NORTH	N AO R TH
NOSE	N OW Z
NOT	N AA T
NOTE	N OW T
NOTHING	N AH TH IH NG
NOW	N AW
NOWHERE	N OW W EH R
NOWHERE(2)	N OW HH W EH R
NUMB	N AH M
NUMBED	N AH M D
NUMBER	N AH M B ER
NUTS	N AH T S
OBAMA	OW B AA M AH
OBEDIENTS	OW B IY D IY AH N T S
OBJECT	AA B JH EH K T
OBJECT(2)	AH B JH EH K T
OBLIVION	AH B L IH V IY AH N
OBSCENE	AA B S IY N
OBSCENE(2)	AH B S IY N
OBSESSION	AH B S EH SH AH N
OCCUPY	AA K Y AH P AY
ODD	AA D
ODE	OW D
OF	AH V
OFF	AO F
OFFEND	AH F EH N D
OFFER	AO F ER
OH	OW
OHH	OW
OID	OY D
OIL	OY L
OKAY	OW K EY
OLD	OW L D
OLDER	OW L D ER
OLDEST	OW L D AH S T
OLYMPIA	OW L IH M P IY AH
ON	AA N
ON(2)	AO N
ONCE	W AH N S
ONE	W AH N
ONE(2)	HH W AH N
ONES	W AH N Z
ONLY	OW N L IY
OPEN	OW P AH N
OPENED	OW P AH N D
OPPORTUNITY'S	AA P ER T UW N AH T IY Z
OPPOSITE	AA P AH Z IH T
OPPOSITES	AA P AH Z IH T S
OR	AO R
OR(2)	ER
ORBE	AO R B
ORBIT	AO R B AH T
ORCHESTRA	AO R K AH S T R AH
ORDER	AO R D ER
ORDINARY	AO R D AH N EH R IY
ORIGINAL	ER IH JH AH N AH L
OTHER	AH DH ER
OTHERS	AH DH ER Z
OTHERWISE	AH DH ER W AY Z
OUGHT	AO T
OUR	AW ER
OUR(2)	AW R
OUR(3)	AA R
OUT	AW T
OUTCOME	AW T K AH M
OUTDONE	AW T D AH N
OUTER	AW T ER
OUTLIVE	AW T L IH V
OUTPUT	AW T P UH T
OUTREACHES	AW T R IY CH IH Z
OUTSIDE	AW T S AY D
OUTSPOKEN	AW T S P OW K AH N
OVER	OW V ER
OVERDOSE	OW V ER D OW S
OVERSPIN	OW V ER S P IH N
OVERTIME	OW V ER T AY M
OWL	AW L
OWN	OW N
OXYGEN	AA K S AH JH AH N
OXYGEN(2)	AA K S IH JH AH N
P	P IY
PA	P AA
PACE	P EY S
PACK	P AE K
PAGES	P EY JH AH Z
PAGES(2)	P EY JH IH Z
PAID	P EY D
PAIL	P EY L
PAIN	P EY N
PAINFUL	P EY N F AH L
PAINT	P EY N T
PAINTED	P EY N T AH D
PAINTED(2)	P EY N T IH D
PAINTED(3)	P EY N AH D
PAINTED(4)	P EY N IH D
PALL	P AA L
PALL(2)	P AO L
PALMS	P AA M Z
PALMS(2)	P AA L M Z
PANTS	P AE N T S
PAPER	P EY P ER
PAPERS	P EY P ER Z
PAPERWORK	P EY P ER W ER K
PAR	P AA R
PARALLEL	P EH R AH L EH L
PARANOID	P EH R AH N OY D
PARK	P AA R K
PARKERS	P AA R K ER Z
PARROT	P EH R AH T
PART	P AA R T
PARTICLES	P AA R T AH K AH L Z
PARTICLES(2)	P AA R T IH K AH L Z
PARTS	P AA R T S
PARTY	P AA R T IY
PASS	P AE S
PASSAGES	P AE S AH JH AH Z
PASSAGES(2)	P AE S IH JH IH Z
PASSED	P AE S T
PASSES	P AE S AH Z
PASSES(2)	P AE S IH Z
PASSING	P AE S IH NG
PASSION	P AE SH AH N
PASSIONAL	P AE SH AH N AH L
PASSPORT	P AE S P AO R T
PAST	P AE S T
PATH	P AE TH
PATHS	P AE DH Z
PATHS(2)	P AE TH S
PATIENCE	P EY SH AH N S
PATRIARCHY	P EY T R IY AA R K IY
PATRIOT	P EY T R IY AH T
PAY	P EY
PAYROLL	P EY R OW L
PEACE	P IY S
PEACEFULNESS	P IY S F AH L N AH S
PEANUTS	P IY N AH T S
PEARL	P ER L
PEDE	P IY D
PEDICURES	P EH D IH K Y ER Z
PEDICURES(2)	P EH D IH K Y AO R Z
PELVIS	P EH L V AH S
PENCILS	P EH N S AH L Z
PENIS	P IY N IH S
PENNIES	P EH N IY Z
PEOPLE	P IY P AH L
PERFECT	P ER F EH K T
PERFECT(2)	P ER F IH K T
PERFECTION	P ER F EH K SH AH N
PERFECTLY	P ER F AH K T L IY
PERFECTLY(2)	P ER F AH K L IY
PERIPHERAL	P ER IH F ER AH L
PERIPHERAL(2)	P ER IH F R AH L
PERISH	P EH R IH SH
PESSIMISM	P EH S AH M IH Z AH M
PETALS	P EH T AH L Z
PHENOMENON	F AH N AA M AH N AA N
PHILISTINES	F IH L AH S T IY N Z
PHILLY	F IH L IY
PHILLY'S	F IH L IY Z
PHILOSOPHY	F AH L AA S AH F IY
PHOENIX	F IY N IH K S
PHONE	F OW N
PICK	P IH K
PICKED	P IH K T
PICKUP	P IH K AH P
PICTURE	P IH K CH ER
PICTURING	P IH K CH ER IH NG
PIECE	P IY S
PIECES	P IY S AH Z
PIECES(2)	P IY S IH Z
PIG	P IH G
PILL	P IH L
PILLOWCASE	P IH L OW K EY S
PINK	P IH NG K
PISSED	P IH S T
PITY	P IH T IY
PLACE	P L EY S
PLACES	P L EY S AH Z
PLACES(2)	P L EY S IH Z
PLAN	P L AE N
PLANE	P L EY N
PLANET	P L AE N AH T
PLANTING	P L AE N T IH NG
PLASTIC	P L AE S T IH K
PLATINUM	P L AE T N AH M
PLATINUM(2)	P L AE T AH N AH M
PLAY	P L EY
PLAYED	P L EY D
PLAYER	P L EY ER
PLAYFUL	P L EY F AH L
PLAYING	P L EY IH NG
PLAYS	P L EY Z
PLEADING	P L IY D IH NG
PLEASE	P L IY Z
PLEASED	P L IY Z D
PLEASURE	P L EH ZH ER
PLUMB	P L AH M
PLUS	P L AH S
POCKETS	P AA K AH T S
POETRY	P OW AH T R IY
POINT	P OY N T
POINTED	P OY N T IH D
POISONED	P OY Z AH N D
POLICE	P AH L IY S
POLITICIANS	P AA L AH T IH SH AH N Z
POLITICS	P AA L AH T IH K S
POND	P AA N D
PONY	P OW N IY
POOL	P UW L
PORCH	P AO R CH
PORE	P AO R
PORTION	P AO R SH AH N
PORTRAIT	P AO R T R AH T
PORTRAITS	P AO R T R AH T S
POSSIBILITIES	P AA S AH B IH L AH T IY Z
POSSIBLE	P AA S AH B AH L
POT	P AA T
POURED	P AO R D
POWER	P AW ER
PRACTICE	P R AE K T IH S
PRAY	P R EY
PRAYER	P R EH R
PRAYER(2)	P R EY ER
PRE	P R IY
PREACH	P R IY CH
PRECIOUS	P R EH SH AH S
PRECISENESS	P R IH S AY S N AH S
PREMONITION	P R EH M AH N IH SH AH N
PRESS	P R EH S
PRESSURE	P R EH SH ER
PRESSURE'S	P R EH SH ER Z
PRETEND	P R IY T EH N D
PRETENDING	P R IY T EH N D IH NG
PRETENSION	P R IY T EH N SH AH N
PRETTY	P R IH T IY
PRINCESS	P R IH N S EH S
PRISM	P R IH Z AH M
PROBABLY	P R AA B AH B L IY
PROBLEM	P R AA B L AH M
PROCRASTINATE	P R AH K R AE S T AH N EY T
PRODUCT	P R AA D AH K T
PROFILE	P R OW F AY L
PROM	P R AA M
PROMISE	P R AA M AH S
PROMISES	P R AA M AH S AH Z
PROMOTION	P R AH M OW SH AH N
PROMOTION(2)	P ER M OW SH AH N
PRONOUNCE	P R AH N AW N S
PROOF	P R UW F
PROSERPINA	P R OW S ER P AH N AH
PROSERPINA(2)	P R AA S ER P IY N AH
PROVE	P R UW V
PUBLIC	P AH B L IH K
PULL	P UH L
PULLED	P UH L D
PULLING	P UH L IH NG
PULLS	P UH L Z
PULSE	P AH L S
PUMP	P AH M P
PUNCH	P AH N CH
PUNCHES	P AH N CH IH Z
PUNCHLINES	P AH N CH L AY N Z
PUNT	P AH N T
PUP	P AH P
PUPPETS	P AH P AH T S
PUPPETS(2)	P AH P IH T S
PURE	P Y UH R
PURITY	P Y UH R AH T IY
PURITY(2)	P Y UH R IH T IY
PURPOSE	P ER P AH S
PUSH	P UH SH
PUSHED	P UH SH T
PUSHING	P UH SH IH NG
PUT	P UH T
PUTTING	P AH T IH NG
PUTTING(2)	P UH T IH NG
PUZZLE	P AH Z AH L
PUZZLED	P AH Z AH L D
QUAYS	K W EY Z
QUEEN	K W IY N
QUEST	K W EH S T
QUESTION	K W EH S CH AH N
QUESTION(2)	K W EH SH AH N
QUEUE	K Y UW
QUICK	K W IH K
QUICKENING	K W IH K AH N IH NG
QUICKLY	K W IH K L IY
QUIET	K W AY AH T
QUIETEST	K W AY AH T AH S T
QUIT	K W IH T
QUITE	K W AY T
QUIVERING	K W IH V ER IH NG
RADIO	R EY D IY OW
RAFTERS	R AE F T ER Z
RAG	R AE G
RAIN	R EY N
RAISE	R EY Z
RAMBLING	R AE M B L IH NG
RAMBLING(2)	R AE M B AH L IH NG
RAN	R AE N
RANG	R AE NG
RANGE	R EY N JH
RAPING	R EY P IH NG
RAPPING	R AE P IH NG
RARE	R EH R
RATHER	R AE DH ER
RATHER(2)	R AH DH ER
RATS	R AE T S
RAVEL	R AE V AH L
RAVEL(2)	R AH V EH L
RAVEN	R EY V AH N
RAVENOUS	R AE V AH N AH S
RAVENS	R EY V AH N Z
RAY	R EY
RAYMON	R EY M AH N
REACH	R IY CH
READ	R EH D
READ(2)	R IY D
READILY	R EH D AH L IY
READING	R IY D IH NG
READING(2)	R EH D IH NG
READY	R EH D IY
REAL	R IY L
REALITY	R IY AE L AH T IY
REALIZE	R IY AH L AY Z
REALLY	R IH L IY
REALLY(2)	R IY L IY
REASON	R IY Z AH N
REASONING	R IY Z AH N IH NG
REASONS	R IY Z AH N Z
REAVE	R IY V
REBEND	R IY B EH N D
REBOUND	R IY B AW N D
REBUILT	R IY B IH L T
RECALL	R IY K AO L
RECALL(2)	R IH K AO L
RECKON	R EH K AH N
RECOGNIZABLE	R EH K AH G N AY Z AH B AH L
RECOGNIZE	R EH K AH G N AY Z
RECONSIDER	R IY K AH N S IH D ER
RECORD	R AH K AO R D
RECORD(2)	R EH K ER D
RECORD(3)	R IH K AO R D
RED	R EH D
REELING	R IY L IH NG
REFLECTIONS	R IH F L EH K SH AH N Z
REFRAIN	R IH F R EY N
REGAL	R IY G AH L
REGARDLESS	R AH G AA R D L AH S
REGGAE	R EH G EY
REGRET	R AH G R EH T
REGRET(2)	R IH G R EH T
REGRETS	R IH G R EH T S
REJECT	R IH JH EH K T
REJECT(2)	R IY JH EH K T
RELATIVE	R EH L AH T IH V
RELAXING	R IH L AE K S IH NG
RELAXING(2)	R IY L AE K S IH NG
RELEASE	R IY L IY S
RELIED	R IH L AY D
RELIED(2)	R IY L AY D
RELIEVE	R IH L IY V
RELIEVE(2)	R IY L IY V
REMAIN	R IH M EY N
REMAIN(2)	R IY M EY N
REMAINED	R IH M EY N D
REMAINED(2)	R IY M EY N D
REMEMBER	R IH M EH M B ER
REMEMBER(2)	R IY M EH M B ER
REMEMBERED	R IH M EH M B ER D
REMEMBERED(2)	R IY M EH M B ER D
REMEMBERS	R IH M EH M B ER Z
REMEMBERS(2)	R IY M EH M B ER Z
REMIND	R IY M AY N D
REMINDER	R IY M AY N D ER
REMOVED	R IY M UW V D
RENEGADE	R EH N AH G EY D
RENEGADES	R EH N AH G EY D Z
REPAIR	R IH P EH R
REPEATS	R IH P IY T S
REPEATS(2)	R IY P IY T S
REPUTATION	R EH P Y AH T EY SH AH N
RESCUE	R EH S K Y UW
RESERVATION	R EH Z ER V EY SH AH N
RESIGNATION	R EH Z AH G N EY SH AH N
RESIGNATION(2)	R EH Z IH G N EY SH AH N
RESIGNED	R IH Z AY N D
RESIGNED(2)	R IY Z AY N D
RESIGNED(3)	R IY S AY N D
RESISTANCE	R IH Z IH S T AH N S
RESISTANCE(2)	R IY Z IH S T AH N S
RESOURCES	R IY S AO R S IH Z
RESPECT	R IH S P EH K T
RESPECT(2)	R IY S P EH K T
RESPONSIBILITY	R IY S P AA N S AH B IH L AH T IY
REST	R EH S T
RESTAURANT	R EH S T ER AA N T
RESTAURANT(2)	R EH S T R AA N T
RESTRAINED	R IY S T R EY N D
RESURRECT	R EH Z ER EH K T
RESURRECTION	R EH Z ER EH K SH AH N
RETURN	R IH T ER N
RETURN(2)	R IY T ER N
RETURNED	R IH T ER N D
RETURNED(2)	R IY T ER N D
REVEALED	R IH V IY L D
REVEALED(2)	R IY V IY L D
REVEALING	R IH V IY L IH NG
REVEALING(2)	R IY V IY L IH NG
REVEALS	R IH V IY L Z
REVEALS(2)	R IY V IY L Z
REWIND	R IY W AY N D
RHYME	R AY M
RHYMES	R AY M Z
RHYTHMS	R IH DH AH M Z
RICH	R IH CH
RID	R IH D
RIDE	R AY D
RIDER	R AY D ER
RIDDER	R AY D ER
RIDING	R AY D IH NG
RIFLE	R AY F AH L
RIGHT	R AY T
RIGHTEOUS	R AY CH AH S
RIGHTS	R AY T S
RIKER'S	R AY K ER Z
RING	R IH NG
RINGS	R IH NG Z
RIPE	R AY P
RIPPED	R IH P T
RISE	R AY Z
RISES	R AY Z AH Z
RISES(2)	R AY Z IH Z
RISING	R AY Z IH NG
RIVAL	R AY V AH L
RIVER	R IH V ER
ROAD	R OW D
ROADS	R OW D Z
ROCK	R AA K
ROCKED	R AA K T
ROCKET	R AA K AH T
ROCKINGLY	R AA K IH NG L IY
ROCKS	R AA K S
ROCKSHOW	R AA K SH OW
ROCKY	R AA K IY
RODDENBERRY	R AA D AH N B EH R IY
RODE	R OW D
ROLL	R OW L
ROLLING	R OW L IH NG
RON	R AA N
ROOKIE	R UH K IY
ROOM	R UW M
ROOMS	R UW M Z
ROOSTING	R UW S T IH NG
ROOTSTOCK	R UW T S T AA K
ROPE	R OW P
ROPES	R OW P S
ROSE	R OW Z
ROSS	R AA S
ROSS(2)	R AO S
ROTHKO	R AA TH OW
ROTS	R AA T S
ROTTEN	R AA T AH N
ROTTING	R AA T IH NG
ROUND	R AW N D
ROUTE	R UW T
ROUTE(2)	R AW T
ROW	R OW
RUFFIAN	R AH F IY AH N
RULES	R UW L Z
RUN	R AH N
RUNNING	R AH N IH NG
RUNS	R AH N Z
RUSH	R AH SH
RUSHING	R AH SH IH NG
RUST	R AH S T
RUSTED	R AH S T AH D
RUSTED(2)	R AH S T IH D
RYE	R AY
S	EH S
SACRAMENT	S AE K R AH M AH N T
SACRIFICE	S AE K R AH F AY S
SAD	S AE D
SAFE	S EY F
SAFELY	S EY F L IY
SAGGING	S AE G IH NG
SAID	S EH D
SAIL	S EY L
SAILED	S EY L D
SAILING	S EY L IH NG
SAILOR'S	S EY L ER Z
SAILS	S EY L Z
SAINT	S EY N T
SALLOW	S AE L OW
SALT	S AO L T
SAME	S EY M
SAND	S AE N D
SANE	S EY N
SANTIAGO	S AE N T IY AA G OW
SATISFIED	S AE T AH S F AY D
SATISFIED(2)	S AE T IH S F AY D
SATISFY	S AE T AH S F AY
SATISFY(2)	S AE T IH S F AY
SATURATE	S AE CH ER EY T
SAVE	S EY V
SAVED	S EY V D
SAVIOR	S EY V Y ER
SAW	S AO
SAY	S EY
SAYING	S EY IH NG
SAYS	S EH Z
SAYS(2)	S IH Z
SCAMP	S K AE M P
SCAPE	S K EY P
SCARD	S K AA R D
SCARED	S K EH R D
SCARLET	S K AA R L AH T
SCARS	S K AA R Z
SCENE	S IY N
SCENES	S IY N Z
SCHEME	S K IY M
SCHEMING	S K IY M IH NG
SCHOOL	S K UW L
SCHOOLBELL	S K UW L B EH L
SCHOOLBOY	S K UW L B OY
SCIENCE	S AY AH N S
SCORES	S K AO R Z
SCOT	S K AA T
SCRAPE	S K R EY P
SCRATCH	S K R AE CH
SCREAM	S K R IY M
SCREAMING	S K R IY M IH NG
SCREEN	S K R IY N
SCRIPTS	S K R IH P T S
SCRIPTS(2)	S K R IH P S
SEA	S IY
SEAR	S IH R
SEARCHING	S ER CH IH NG
SEARING	S IH R IH NG
SEAS	S IY Z
SEASON	S IY Z AH N
SEASONS	S IY Z AH N Z
SEATS	S IY T S
SECOND	S EH K AH N D
SECRETS	S IY K R IH T S
SECURE	S IH K Y UH R
SEDATED	S IH D EY T IH D
SEE	S IY
SEED	S IY D
SEEK	S IY K
SEEM	S IY M
SEEMED	S IY M D
SEEMS	S IY M Z
SEEN	S IY N
SEEPS	S IY P S
SELF	S EH L F
SELFISHNESS	S EH L F IH SH N AH S
SEMITONIAL	S EH M IY T OW N IY AH L
SENATORS	S EH N AH T ER Z
SEND	S EH N D
SENDING	S EH N D IH NG
SENSE	S EH N S
SENT	S EH N T
SENTIMENTAL	S EH N T AH M EH N T AH L
SENTIMENTAL(2)	S EH N AH M EH N T AH L
SENTIMENTAL(3)	S EH N T AH M EH N AH L
SENTIMENTAL(4)	S EH N AH M EH N AH L
SEPARATE	S EH P ER EY T
SEPARATE(2)	S EH P ER IH T
SEPARATE(3)	S EH P R AH T
SEPARATES	S EH P ER EY T S
SEPARATES(2)	S EH P ER IH T S
SERIOUS	S IH R IY AH S
SERLY	S EH R L IY
SERPENTS	S ER P AH N T S
SERVANT	S ER V AH N T
SERVANTS	S ER V AH N T S
SERVE	S ER V
SERVILITY	S ER V AH L AH T IY
SERVING	S ER V IH NG
SET	S EH T
SETS	S EH T S
SETTLE	S EH T AH L
SEVEN	S EH V AH N
SEVERAL	S EH V ER AH L
SEX	S EH K S
SEXY	S EH K S IY
SHACKLES	SH AE K AH L Z
SHADOW	SH AE D OW
SHADOWS	SH AE D OW Z
SHAKE	SH EY K
SHAKING	SH EY K IH NG
SHALALA	SH AH L EY L AH
SHALLOWS	SH AE L OW Z
SHAME	SH EY M
SHARDS	SH AA R D Z
SHARE	SH EH R
SHATTERED	SH AE T ER D
SHE	SH IY
SHE'D	SH IY D
SHE'LL	SH IY L
SHE'S	SH IY Z
SHED	SH EH D
SHEEN	SH IY N
SHELL	SH EH L
SHELTER	SH EH L T ER
SHIFT	SH IH F T
SHIMMER	SH IH M ER
SHINE	SH AY N
SHINING	SH AY N IH NG
SHINY	SH AY N IY
SHIPS	SH IH P S
SHIPWRECKED	SH IH P R EH K T
SHIT	SH IH T
SHIVERS	SH IH V ER Z
SHOOK	SH UH K
SHOOT	SH UW T
SHOP	SH AA P
SHORE	SH AO R
SHORT	SH AO R T
SHORTWAVE	SH AO R T W EY V
SHOT	SH AA T
SHOULD	SH UH D
SHOULDER	SH OW L D ER
SHOULDN'T	SH UH D AH N T
SHOUT	SH AW T
SHOVEL	SH AH V AH L
SHOW	SH OW
SHOWED	SH OW D
SHOWN	SH OW N
SHOWS	SH OW Z
SHRILLER	SH R IH L ER
SHRIMPS	SH R IH M P S
SHUFFLE	SH AH F AH L
SHUT	SH AH T
SICK	S IH K
SIDE	S AY D
SIDES	S AY D Z
SIDEWALK	S AY D W AO K
SIGH	S AY
SIGHT	S AY T
SIGN	S AY N
SIGNS	S AY N Z
SILENCE	S AY L AH N S
SILENT	S AY L AH N T
SILENTLY	S AY L AH N T L IY
SILHOUETTE	S IH L AH W EH T
SILLINESS	S IH L IY N AH S
SILVER	S IH L V ER
SIMPLE	S IH M P AH L
SIMPLY	S IH M P L IY
SIN	S IH N
SINCE	S IH N S
SING	S IH NG
SINGING	S IH NG IH NG
SINGLE	S IH NG G AH L
SINGLED	S IH NG G AH L D
SINGS	S IH NG Z
SINK	S IH NG K
SINKING	S IH NG K IH NG
SINNER	S IH N ER
SINS	S IH N Z
SIP	S IH P
SIPPING	S IH P IH NG
SIRENS	S AY R AH N Z
SISTER	S IH S T ER
SIT	S IH T
SITS	S IH T S
SITTING	S IH T IH NG
SIX	S IH K S
SIXTY	S IH K S T IY
SIZE	S AY Z
SKIES	S K AY Z
SKIM	S K IH M
SKIN	S K IH N
SKIN'S	S K IH N Z
SKIP	S K IH P
SKIRTS	S K ER T S
SKIS	S K IY Z
SKY	S K AY
SLAP	S L AE P
SLASHED	S L AE SH T
SLASHES	S L AE SH IH Z
SLAVE	S L EY V
SLEEP	S L IY P
SLEEPING	S L IY P IH NG
SLICING	S L AY S IH NG
SLICK	S L IH K
SLIDING	S L AY D IH NG
SLIGHTLY	S L AY T L IY
SLINKING	S L IH NG K AH NG
SLIP	S L IH P
SLIPPED	S L IH P T
SLIPPING	S L IH P IH NG
SLOW	S L OW
SLOWING	S L OW IH NG
SLOWLY	S L OW L IY
SLUMBERED	S L AH M B ER D
SMALLEST	S M AO L AH S T
SMASH	S M AE SH
SMASHED	S M AE SH T
SMELL	S M EH L
SMILE	S M AY L
SMILED	S M AY L D
SMILES	S M AY L Z
SMILING	S M AY L IH NG
SMIRK	S M ER K
SMOKE	S M OW K
SMOKY	S M OW K IY
SNOW	S N OW
SO	S OW
SOCIETY	S OW S AY IH T IY
SOCIOPATH	S OW S IY OW P AE TH
SOCKETS	S AA K AH T S
SOCKS	S AA K S
SOFTLY	S AO F T L IY
SOFTLY(2)	S AO F L IY
SOLD	S OW L D
SOLDIER	S OW L JH ER
SOLITUDE	S AA L AH T UW D
SOME	S AH M
SOMEBODY	S AH M B AA D IY
SOMEBODY(2)	S AH M B AH D IY
SOMEDAY	S AH M D EY
SOMEHOW	S AH M HH AW
SOMEONE	S AH M W AH N
SOMEONE'S	S AH M W AH N Z
SOMETHING	S AH M TH IH NG
SOMETHING'S	S AH M TH IH NG Z
SOMETIMES	S AH M T AY M Z
SOMETING	S AH M IY T AH NG
SOMEWHERE	S AH M W EH R
SON	S AH N
SONG	S AO NG
SONGS	S AO NG Z
SONS	S AH N Z
SOON	S UW N
SORE	S AO R
SORROW	S AA R OW
SORRY	S AA R IY
SOUL	S OW L
SOULS	S OW L Z
SOUND	S AW N D
SOUNDS	S AW N D Z
SOUNDS(2)	S AW N Z
SOUP	S UW P
SOUTH	S AW TH
SOUTHERN	S AH DH ER N
SPACE	S P EY S
SPACESHIP	S P EY S SH IH P
SPALLING	S P AO L AH NG
SPARKLE	S P AA R K AH L
SPARKLES	S P AA R K AH L Z
SPARTANS	S P AA R T AH N Z
SPEAK	S P IY K
SPEAKER	S P IY K ER
SPEAKERS	S P IY K ER Z
SPEECHLESS	S P IY CH L AH S
SPENDING	S P EH N D IH NG
SPENT	S P EH N T
SPILL	S P IH L
SPIN	S P IH N
SPINE	S P AY N
SPINNIN'	S P IH N AH N
SPINNING	S P IH N IH NG
SPIRALS	S P AY R AH L Z
SPIRIT	S P IH R AH T
SPIRIT(2)	S P IH R IH T
SPIRIT'S	S P IH R IH T S
SPIRITS	S P IH R IH T S
SPIRITUAL	S P IH R IH CH UW AH L
SPIT	S P IH T
SPITTING	S P IH T IH NG
SPLASHED	S P L AE SH T
SPLAT	S P L AE T
SPLENDOR	S P L EH N D ER
SPLIT	S P L IH T
SPOKE	S P OW K
SPOKEN	S P OW K AH N
SPOON	S P UW N
SPOT	S P AA T
SQUEEZE	S K W IY Z
STACK	S T AE K
STAGNATED	S T AE G N EY T IH D
STAIN	S T EY N
STAINED	S T EY N D
STAINS	S T EY N Z
STAIRS	S T EH R Z
STAKES	S T EY K S
STAMPING	S T AE M P IH NG
STAND	S T AE N D
STANDARDS	S T AE N D ER D Z
STANDING	S T AE N D IH NG
STANDS	S T AE N D Z
STAR	S T AA R
STARING	S T EH R IH NG
STARS	S T AA R Z
START	S T AA R T
STARTED	S T AA R T AH D
STARTED(2)	S T AA R T IH D
STARTING	S T AA R T IH NG
STATES	S T EY T S
STATIC	S T AE T IH K
STATION	S T EY SH AH N
STAVING	S T EY V IH NG
STAY	S T EY
STAYS	S T EY Z
STEADY	S T EH D IY
STEAL	S T IY L
STEAM	S T IY M
STEAMING	S T IY M IH NG
STEERS	S T IH R Z
STELLA'S	S T EH L AH Z
STEP	S T EH P
STEPPING	S T EH P IH NG
STEPS	S T EH P S
STEREO	S T EH R IY OW
STERN	S T ER N
STEVEN	S T IY V AH N
STICK	S T IH K
STIDE	S T AY D
STILIA	S T IH L Y AH
STILL	S T IH L
STING	S T IH NG
STINGING	S T IH NG IH NG
STITCH	S T IH CH
STOLEN	S T OW L AH N
STOMACH	S T AH M AH K
STOMPED	S T AA M P T
STONE	S T OW N
STOOD	S T UH D
STOP	S T AA P
STOPPING	S T AA P IH NG
STORIES	S T AO R IY Z
STORK	S T AO R K
STORMY	S T AO R M IY
STORY	S T AO R IY
STRAIGHT	S T R EY T
STRAIN	S T R EY N
STRANDED	S T R AE N D AH D
STRANDED(2)	S T R AE N D IH D
STRANDS	S T R AE N D Z
STRANGE	S T R EY N JH
STRAW	S T R AO
STREET	S T R IY T
STREETS	S T R IY T S
STRENGTH	S T R EH NG K TH
STRENGTH(2)	S T R EH NG TH
STRESSED	S T R EH S T
STRETCH	S T R EH CH
STRIFE	S T R AY F
STRIKING	S T R AY K IH NG
STRING	S T R IH NG
STRINGS	S T R IH NG Z
STRONG	S T R AO NG
STRONGER	S T R AO NG G ER
STRUGGLING	S T R AH G AH L IH NG
STRUGGLING(2)	S T R AH G L IH NG
STUBBLE	S T AH B AH L
STUCK	S T AH K
STUFF	S T AH F
STUMBLED	S T AH M B AH L D
STUMPED	S T AH M P T
STUPID	S T UW P AH D
STUPID(2)	S T UW P IH D
STUTTER	S T AH T ER
STYLE	S T AY L
SUBPOENAS	S AH P IY N AH Z
SUBTLE	S AH T AH L
SUBWAY	S AH B W EY
SUCCESS	S AH K S EH S
SUCH	S AH CH
SUCK	S AH K
SUDDENLY	S AH D AH N L IY
SUFFOCATE	S AH F AH K EY T
SUIT	S UW T
SUMMER	S AH M ER
SUMS	S AH M Z
SUN	S AH N
SUN'S	S AH N Z
SUNBURNED	S AH N B ER N D
SUNDAY	S AH N D EY
SUNDAY(2)	S AH N D IY
SUNKEN	S AH NG K AH N
SUNLIGHT	S AH N L AY T
SUPPOSE	S AH P OW Z
SUPPOSED	S AH P OW Z D
SUPREME	S AH P R IY M
SUPREME(2)	S ER P R IY M
SURE	SH UH R
SURELY	SH UH R L IY
SURPASS	S ER P AE S
SURPRISE	S ER P R AY Z
SURPRISE(2)	S AH P R AY Z
SURRENDER	S ER EH N D ER
SURRENDERED	S ER EH N D ER D
SURROGATE	S ER AH G AH T
SURROGATE(2)	S ER AH G EY T
SURROUND	S ER AW N D
SURVIVE	S ER V AY V
SWALLOW	S W AA L OW
SWALLOW(2)	S W AO L OW
SWAY	S W EY
SWAYING	S W EY IH NG
SWEAR	S W EH R
SWEET	S W IY T
SWEETER	S W IY T ER
SWEETEST	S W IY T AH S T
SWEETNESS	S W IY T N AH S
SWELLS	S W EH L Z
SWIM	S W IH M
SWING	S W IH NG
SWITCH	S W IH CH
SWOLLEN	S W OW L AH N
SWORE	S W AO R
SYLVIA'S	S IH L V IY AH Z
SYSTEM	S IH S T AH M
T	T IY
TAB	T AE B
TAKE	T EY K
TAKE'EM	T AE K AH AH M
TAKEN	T EY K AH N
TAKES	T EY K S
TAKING	T EY K IH NG
TALE	T EY L
